monomer,SMILES,class,type,qed,NumHeteroatoms,EState_VSA5,BCUT2D_CHGHI,VSA_EState6,Chi4n,VSA_EState5,FpDensityMorgan3,Chi1v,HallKierAlpha,NumRotatableBonds,PEOE_VSA7,EState_VSA4,BCUT2D_CHGLO,Chi1n,fr_unbrch_alkane,EState_VSA9,NumHAcceptors,NumSaturatedHeterocycles,HeavyAtomCount,VSA_EState7,SMR_VSA6,SlogP_VSA4,fr_NH0,MinPartialCharge,NumHDonors,EState_VSA3,Chi3v,TPSA,SMR_VSA7,MaxPartialCharge,PEOE_VSA9,BertzCT,fr_guanido,Chi4v,MaxAbsPartialCharge,MolLogP,SMR_VSA4,PEOE_VSA1,Kappa2,MinEStateIndex,VSA_EState8,Chi0n,SMR_VSA5,fr_para_hydroxylation,EState_VSA2,LabuteASA,ExactMolWt,NumAromaticRings,Chi1,SlogP_VSA1,BCUT2D_LOGPHI,fr_NH1,SMR_VSA1,Chi3n,MaxAbsEStateIndex,SMR_VSA10,EState_VSA6,NOCount,MolWt,Chi2n,NumAromaticCarbocycles,NumValenceElectrons,VSA_EState3,SlogP_VSA3,SMR_VSA3,MinAbsEStateIndex,SlogP_VSA5,NHOHCount,RingCount,fr_benzene,NumSaturatedRings,Kappa1,BCUT2D_MWHI,FpDensityMorgan1,VSA_EState4,NumAliphaticRings,BalabanJ,MaxEStateIndex,Chi0,SlogP_VSA6,EState_VSA8,FpDensityMorgan2,BCUT2D_MRLOW,MinAbsPartialCharge,PEOE_VSA6,FractionCSP3,PEOE_VSA2,Kappa3,VSA_EState2,NumAliphaticHeterocycles,fr_NH2,PEOE_VSA14,MolMR,HeavyAtomMolWt,PEOE_VSA8,Chi2v,EState_VSA7,BCUT2D_LOGPLOW,Chi0v,SlogP_VSA2,BCUT2D_MRHI,BCUT2D_MWLOW,PEOE_VSA10
G,C(C(=O)O)N,peptide,node,0.42117088793654706,3,0.0,1.8050321424204188,0.0,0.0,-0.9675925925925923,2.2,1.1895326240390474,-0.5700000000000001,1,0.0,0.0,-1.7261145401494347,1.1895326240390474,0,5.106527394840706,2,0,5,0.0,6.544756405912575,0.0,0,-0.4802971300243957,2,0.0,0.17462042625086105,63.31999999999999,0.0,0.3167559784055858,6.544756405912575,42.91260938324327,0,0.0,0.4802971300243957,-0.9702999999999999,5.733667477162185,10.84019487200289,1.7215451895043727,-0.9675925925925923,-0.2777777777777779,2.639918936339994,0.0,0,6.544756405912575,29.39983969147865,75.0320284,0,2.270055610029662,5.733667477162185,1.433902475658762,0,9.901064578912528,0.17462042625086105,9.243055555555555,5.9693052879518484,0.0,3,75.06700000000001,0.5978626884552846,0,30,7.597222222222222,4.794537184071822,0.0,0.2777777777777779,0.0,3,0,0,0,4.43,16.366059254527027,2.0,4.5717592592592595,0,2.847378923087672,9.243055555555555,4.284457050376173,0.0,5.733667477162185,2.2,-0.13483919797703506,0.3167559784055858,0.0,0.5,4.794537184071822,3.429999999999999,9.243055555555555,0,1,5.9693052879518484,16.6902,70.027,0.0,0.5978626884552846,0.0,-2.1042293463557673,2.639918936339994,17.62058908870513,5.680936538605495,10.717499991234304,0.0
A,C[C@@H](C(=O)O)N,peptide,node,0.4513521877377077,3,6.923737199690624,1.990288751785777,-0.7314814814814816,0.0,-0.9629629629629626,2.1666666666666665,1.6270896800996828,-0.5700000000000001,1,6.923737199690624,0.0,-1.8970694528403376,1.6270896800996828,0,10.84019487200289,2,0,6,0.0,0.0,0.0,0,-0.4800942338470611,2,0.0,0.38952755606530876,63.31999999999999,0.0,0.3196779563386595,0.0,59.813537528125096,0,0.0,0.4800942338470611,-0.5817999999999999,5.733667477162185,10.84019487200289,1.7676338396942162,-0.9629629629629626,1.4189814814814814,3.5101624243430725,12.965578028838586,0,0.0,35.76478180587526,89.047678464,0,2.6427344100918364,5.733667477162185,1.6766102095077593,0,9.901064578912528,0.38952755606530876,9.574074074074074,5.9693052879518484,0.0,3,89.09400000000001,1.1269128025836794,0,36,7.8657407407407405,4.794537184071822,0.0,0.7314814814814816,6.923737199690624,3,0,0,0,5.43,16.367425029932832,2.0,4.835648148148148,0,3.2575861612334887,9.574074074074074,5.1547005383792515,0.0,0.0,2.1666666666666665,-0.1375629027552852,0.3196779563386595,0.0,0.6666666666666666,4.794537184071822,1.7215451895043727,9.574074074074074,0,1,5.9693052879518484,21.285200000000003,82.03800000000001,0.0,1.1269128025836794,0.0,-2.250004206438685,3.5101624243430725,17.117673511940517,5.718631580202892,10.385340795249784,6.041840829147961
L,CC(C)C[C@@H](C(=O)O)N,peptide,node,0.5839472301812021,3,0.0,2.1137269386217423,-0.6898148148148151,0.6086849374733664,-0.5557407407407406,2.2222222222222223,3.020936530217035,-0.5700000000000001,3,12.338727669087403,0.0,-2.0694471285604688,3.020936530217035,0,10.84019487200289,2,0,9,0.5509259259259259,0.0,5.917906046161393,0,-0.48008631732626356,2,12.338727669087403,1.0425358217215754,63.31999999999999,0.0,0.319977946620586,0.0,101.23098268032228,0,0.6086849374733664,0.48008631732626356,0.44439999999999996,11.651573523323577,10.84019487200289,3.454517317421779,-0.9132407407407406,3.8944444444444444,5.794619474719246,26.31013685145522,0,0.0,54.859608149065075,131.094628656,0,4.036581260209188,5.733667477162185,2.0108389916712968,0,9.901064578912528,1.0425358217215754,10.109768518518518,5.9693052879518484,0.0,3,131.17499999999995,2.5742798507958478,0,54,8.30587962962963,4.794537184071822,0.0,0.35749999999999993,20.268296022307258,3,0,0,0,8.43,16.367544830314227,1.6666666666666667,5.21787037037037,0,3.5016884512730915,10.109768518518518,7.439157588755425,0.0,0.0,2.111111111111111,-0.1384168132649971,0.319977946620586,13.847474399381248,0.8333333333333334,4.794537184071822,3.9683580080753695,10.109768518518518,0,1,5.9693052879518484,35.06619999999998,118.07099999999998,0.0,2.5742798507958478,13.847474399381248,-2.307587421425895,5.794619474719246,17.117673511940517,5.724698039855708,10.053224128039203,6.041840829147961
M,CSCC[C@@H](C(=O)O)N,peptide,node,0.596996208092774,4,0.0,2.084149327612661,-0.6829166666666671,0.36829336457628337,-0.09995370370370316,2.7777777777777777,4.048757976549948,-0.22000000000000006,4,18.429444413184203,5.752853606746789,-2.017359573111819,2.654911126432596,0,10.84019487200289,3,0,9,2.477252456538171,12.008622790258194,0.0,0,-0.4800860693347356,2,6.4208216229260096,1.5941274674979722,63.31999999999999,0.0,0.31999919762538026,0.0,96.95878455585174,0,0.8579295186575112,0.4800860693347356,0.15140000000000003,5.733667477162185,10.84019487200289,4.6392732499312475,-0.9129166666666662,0.0,5.332624277180031,12.462662452073971,0,0.0,58.61777606003371,149.051049592,0,4.180739212552622,5.733667477162185,1.9723736758176267,0,9.901064578912528,0.9501769166385938,10.070883408919123,17.731190237342965,11.761884949391115,3,149.215,1.7262051547045378,0,54,8.274364134542706,4.794537184071822,0.0,0.5520833333333334,6.4208216229260096,3,0,0,0,8.779999999999998,32.166362768721726,1.8888888888888888,5.189675925925926,0,3.2659073992264416,10.070883408919123,7.276020881938894,0.0,0.0,2.4444444444444446,-0.13804877809510313,0.31999919762538026,0.0,0.8,4.794537184071822,4.294138817480717,10.070883408919123,0,1,5.9693052879518484,38.61019999999999,138.12699999999998,0.0,2.711803714358026,6.255769183511404,-2.298889185539612,6.149120858107757,29.12629630219871,7.980973217881283,10.242435219636969,6.041840829147961
F,C1=CC=C(C=C1)C[C@@H](C(=O)O)N,peptide,node,0.6904627990029388,3,0.0,2.1038574496375704,8.543755196523055,0.9553374414747879,-0.9593953136810274,2.5,3.7222246944901536,-1.35,3,11.984273114623004,5.563451491696996,-2.0442200955261507,3.7222246944901536,0,10.84019487200289,2,0,12,0.38509259259259254,0.0,0.0,0,-0.48007770020344237,2,6.4208216229260096,1.6156375325315593,63.31999999999999,35.89528683400505,0.32031550163956013,0.0,258.4908622767174,0,0.9553374414747879,0.48007770020344237,0.641,5.733667477162185,10.84019487200289,3.8752009284976325,-0.9593953136810274,0.0,6.604020551477751,12.462662452073971,0,0.0,70.82187601193928,165.078978592,1,5.698377302757663,5.733667477162185,2.0076066255738527,0,9.901064578912528,1.6156375325315593,10.378641817838247,5.9693052879518484,0.0,3,165.19199999999998,2.634453445168401,1,64,8.518311602418745,11.21535880699783,0.0,0.38509259259259254,5.563451491696996,3,1,1,0,8.743896713615024,16.3675445870864,1.4166666666666667,6.300260770975058,0,2.584604082397521,10.378641817838247,8.974691494688164,30.33183534230805,0.0,2.0,-0.13799634748519216,0.32031550163956013,30.33183534230805,0.2222222222222222,4.794537184071822,2.3586512364733427,10.378641817838247,0,1,5.9693052879518484,45.75720000000001,154.10399999999998,0.0,2.634453445168401,30.33183534230805,-2.316395437688865,6.604020551477751,17.117673511940517,5.73012470733231,10.076364392744406,6.041840829147961
W,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,peptide,node,0.7005840997557369,4,0.0,2.1371615523619307,6.91318357898715,1.6247309891125132,-0.9719619236583517,2.933333333333333,4.716241630346445,-1.81,3,11.629818560158606,16.46637642377805,-2.038308646805265,4.716241630346445,0,10.84019487200289,2,0,15,2.159537037037037,0.0,0.0,0,-0.4800776923593587,3,6.4208216229260096,2.4319435418190687,79.11,36.02576333715651,0.32031692105916915,0.0,490.04850791430727,0,1.6247309891125132,0.4800776923593587,1.1222999999999996,5.733667477162185,15.824173392950097,3.744477633359753,-0.9719619236583517,0.0,8.10402055147775,12.462662452073971,1,0.0,86.71270096468879,204.089877624,2,7.1815405503520555,5.733667477162185,2.18054206112019,1,9.901064578912528,2.4319435418190687,10.626393927941548,16.872230220032904,0.0,4,204.22899999999996,3.5083522099184097,1,78,9.75398116654069,11.21535880699783,4.983978520947208,0.3465740740740739,5.563451491696996,4,2,1,0,9.733912004652453,16.36755355386263,1.4666666666666666,7.434909297052155,0,2.323487371389896,10.626393927941548,10.836498814253963,30.462311845459517,4.983978520947208,2.2,-0.13798871990339606,0.32031692105916915,18.19910120538483,0.18181818181818182,4.794537184071822,1.8453598902256407,13.71035084404132,0,1,5.9693052879518484,57.613900000000015,192.13299999999998,23.520590126620142,3.5083522099184097,30.462311845459517,-2.316121789893532,8.10402055147775,22.10165203288772,5.838005577001777,10.061025939568733,6.041840829147961
K,C(CCN)C[C@@H](C(=O)O)N,peptide,node,0.45717715849655716,4,0.0,2.086236558351493,-0.716157407407408,0.6320636249442058,-0.9333134920634916,2.5,3.366235991837783,-0.6100000000000001,5,19.386399651764595,12.841643245852019,-2.0304066437347483,3.366235991837783,1,16.573862349165076,3,0,10,2.1641666666666666,6.544756405912575,0.0,0,-0.480086447570925,3,12.965578028838586,1.286449931672767,89.34,0.0,0.3199673002470266,0.0,105.9209386162151,0,0.6320636249442058,0.480086447570925,-0.47269999999999873,11.46733495432437,16.573862349165076,5.19660435670694,-0.9333134920634916,0.6035109599395314,5.915939818278889,25.30430569792599,0,0.0,60.199498846077795,146.105527688,0,4.680739212552622,11.46733495432437,1.9643244343517063,0,9.901064578912528,1.286449931672767,10.137221749811035,5.9693052879518484,0.0,4,146.19,2.2291877906591537,0,60,8.325077475434618,4.794537184071822,0.0,0.5203703703703704,19.26246486877803,5,0,0,0,9.39,16.36753873618515,1.5,10.419494047619049,0,3.2148768968244483,10.137221749811035,7.983127663125442,0.0,0.0,2.1,-0.13821509350119374,0.3199673002470266,6.4208216229260096,0.8333333333333334,4.794537184071822,4.286691532146363,10.137221749811035,0,2,5.9693052879518484,38.5166,132.07799999999997,0.0,2.2291877906591537,0.0,-2.2938271455805657,5.915939818278889,23.66242991785309,5.724209332965023,10.123839367585884,6.041840829147961
Q,C(CC(=O)N)[C@@H](C(=O)O)N,peptide,node,0.4560917735982506,5,0.0,2.1081748075498075,-0.9791666666666667,0.4212363029499181,-1.640787037037036,2.3,2.804340371793938,-1.1,4,6.4208216229260096,0.0,-2.0143687725474737,2.804340371793938,0,16.573862349165076,3,0,10,0.12314814814814778,0.0,0.0,0,-0.4800862864649938,3,0.0,1.0189388484196829,106.41,0.0,0.3199828445702351,0.0,145.8284895747849,0,0.4212363029499181,0.4800862864649938,-1.336199999999999,11.46733495432437,16.573862349165076,3.8375573921028465,-1.109953703703703,0.0,5.409974546369657,18.88348407499998,0,12.841643245852019,57.996078831724944,146.06914218,0,4.536581260209188,11.46733495432437,1.91881109526079,0,14.69560176298435,1.0189388484196829,10.100084089191233,11.876485017303354,0.0,5,146.146,1.9497187176048891,0,58,8.217769274376417,9.589074368143644,0.0,0.021296296296296147,12.841643245852019,5,0,0,0,8.9,16.367581214084744,1.5,9.810922146636432,0,3.490729660390813,10.100084089191233,8.146264369941973,0.0,0.0,2.0,-0.1382526989623843,0.3199828445702351,0.0,0.6,9.589074368143644,3.8485659349463233,20.134780801209374,0,2,5.9693052879518484,34.03959999999999,136.06599999999997,6.4208216229260096,1.9497187176048891,0.0,-2.3084818605667254,5.409974546369657,23.02485324129202,5.764682430772362,10.15284569569616,6.041840829147961
E,C(CC(=O)O)[C@@H](C(=O)O)N,peptide,node,0.485975530954351,5,0.0,2.115643113216581,-1.0591666666666668,0.4024526920533751,-2.1963425925925915,2.2,2.739272034949104,-1.1,4,6.4208216229260096,0.0,-2.0093027352008943,2.739272034949104,0,15.946722266843597,3,0,10,-0.22407407407407387,0.0,0.0,0,-0.48122949062943815,3,0.0,0.9864046799972659,100.61999999999999,0.0,0.3199840300766228,0.0,144.58337707694838,0,0.4024526920533751,0.48122949062943815,-0.736899999999999,5.733667477162185,15.946722266843597,3.8375573921028465,-1.1655092592592589,0.0,5.279837872679989,18.88348407499998,0,12.841643245852019,57.45042188690824,147.053157768,0,4.536581260209188,5.733667477162185,1.9291305336064424,0,19.802129157825057,0.9864046799972659,9.993880385487529,11.938610575903697,0.0,5,147.13,1.8771444181011465,0,58,16.272609599395313,9.589074368143644,0.0,0.023148148148147918,12.841643245852019,4,0,0,0,8.9,16.370712609290436,1.4,5.001898148148149,0,3.490729660390813,9.993880385487529,8.146264369941973,0.0,0.0,1.9,-0.13939172926454255,0.3199840300766228,0.0,0.6,9.589074368143644,3.8485659349463233,19.87174225245654,0,1,11.938610575903697,32.480999999999995,138.058,6.4208216229260096,1.8771444181011465,0.0,-2.2996667390590053,5.279837872679989,28.193506194733068,5.74181027230833,10.159875248200164,6.041840829147961
S,C([C@@H](C(=O)O)N)O,peptide,node,0.3942403492047702,4,0.0,2.0646893394819776,-1.1250000000000007,0.07809262867138281,-1.1782407407407407,2.2857142857142856,1.774215467390758,-0.6100000000000001,2,0.0,0.0,-1.9596831282168619,1.774215467390758,0,15.946722266843596,3,0,7,0.0,6.606881964512918,0.0,0,-0.4800213961433728,3,0.0,0.5138937555013049,83.55,0.0,0.3223711468486876,6.606881964512918,72.58027134782354,0,0.07809262867138281,0.4800213961433728,-1.6093999999999995,5.733667477162185,15.946722266843596,2.5439940390036266,-1.1782407407407407,-0.5046296296296298,3.664482801029578,6.041840829147961,0,0.0,40.559015558071266,105.042593084,0,3.1807392125526213,5.733667477162185,1.705001135412048,0,15.007591973753234,0.5138937555013049,9.645324074074074,5.9693052879518484,0.0,4,105.09299999999999,1.1273049261180357,0,42,15.896342592592593,4.794537184071822,0.0,0.5046296296296298,0.0,4,0,0,0,6.390000000000001,16.370562825263438,1.8571428571428572,4.766203703703704,0,3.3434170589539596,9.645324074074074,5.8618073195657985,0.0,0.0,2.2857142857142856,-0.13890072103989215,0.3223711468486876,0.0,0.6666666666666666,4.794537184071822,2.1321150278293133,9.645324074074074,0,1,5.9693052879518484,22.697000000000003,98.037,0.0,1.1273049261180357,0.0,-2.328893963792514,3.664482801029578,28.831082871294136,5.725955569309569,10.349473294626588,6.041840829147961
