,ID,monomers,class_distribution,mol_distribution,KLdiv,Tma_wt,Aeg_wt,Mo_wt,Mep_wt,Ni_wt,Phe_wt,Do_wt,Bam_wt,Oct_wt,Olam_wt,Bmam_wt,Tmb_wt,SMILES,pred_MPNN_40,pred_MPNN_85,pred_MPNN_16
0,94249,['Tma' 'Mo' 'Phe' 'Oct'],"[10, 60, 30]",[0.07214549 0.63383978 0.25333277 0.04068196],0.30672561648502294,10,0,60,0,0,25,0,0,5,0,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'C=CC(=O)Nc1ccccc1', 'CCCCCCCCNC(=O)C=C']",0.3359196186065674,0.5476163029670715,0.997611165046692
1,116151,['Tma' 'Mo' 'Do' 'Olam'],"[10, 45, 45]",[0.09246909 0.60929581 0.1197637  0.1784714 ],0.30674888332516353,10,0,45,0,0,0,15,0,0,30,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'CCCCCCCCCCCCNC(=O)C=C', 'CCCCCCCC/C=C\\CCCCCCCCNC(=O)C(=C)']",0.9999996423721312,0.9999947547912598,0.5128840208053589
2,246267,['Tma' 'Mep' 'Phe' 'Oct' 'Olam'],"[10, 45, 45]",[0.08775623 0.57012439 0.12325944 0.04948467 0.16937527],0.2424207011440139,10,0,0,45,0,10,0,0,5,30,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)NCCCOC', 'C=CC(=O)Nc1ccccc1', 'CCCCCCCCNC(=O)C=C', 'CCCCCCCC/C=C\\CCCCCCCCNC(=O)C(=C)']",0.9999998807907104,0.5998257398605347,0.999853491783142
3,518739,['Tma' 'Mo' 'Mep' 'Ni' 'Phe'],"[10, 45, 45]",[0.06436406 0.14136886 0.27876857 0.47029673 0.04520179],0.3248366105856734,10,0,15,30,40,5,0,0,0,0,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'C=CC(=O)NCCCOC', 'CC(C)NC(=O)C=C', 'C=CC(=O)Nc1ccccc1']",0.7209261655807495,0.304484099149704,0.998651921749115
4,766407,['Tma' 'Mo' 'Ni' 'Olam' 'Tmb'],"[45, 15, 40]",[0.36398501 0.17765659 0.29550819 0.02601907 0.13683114],0.30932941721691626,45,0,15,0,20,0,0,0,0,5,0,15,"['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'CC(C)NC(=O)C=C', 'CCCCCCCC/C=C\\CCCCCCCCNC(=O)C(=C)', 'CC(C)(C)CC(C)(C)NC(=O)C=C']",0.5672709941864014,0.3392715752124786,0.999999
5,922078,['Tma' 'Mep' 'Phe'],"[10, 55, 35]",[0.07216897 0.57304972 0.35478131],0.36567313306678123,10,0,0,55,0,35,0,0,0,0,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)NCCCOC', 'C=CC(=O)Nc1ccccc1']",0.3943617641925812,0.978104293346405,0.9997177720069884
6,1004690,['Tma' 'Phe' 'Olam'],"[85, 0, 15]",[0.83119474 0.13734918 0.03145608],0.29988060992145243,85,0,0,0,0,10,0,0,0,5,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)Nc1ccccc1', 'CCCCCCCC/C=C\\CCCCCCCCNC(=O)C(=C)']",0.5944967865943909,0.3484229743480682,0.999840497970581
7,1182688,['Tma' 'Do' 'Olam'],"[55, 0, 45]",[0.6303551  0.14844008 0.22120482],0.32006596290140865,55,0,0,0,0,0,15,0,0,30,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'CCCCCCCCCCCCNC(=O)C=C', 'CCCCCCCC/C=C\\CCCCCCCCNC(=O)C(=C)']",0.9999984502792358,0.3333445787429809,0.7980297803878784
8,1443590,['Aeg' 'Mo' 'Phe'],"[10, 80, 10]",[0.07560657 0.82542214 0.09897129],0.2438556194665997,0,10,80,0,0,10,0,0,0,0,0,0,"['[Cl-].NC(=[NH2+])NCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'C=CC(=O)Nc1ccccc1']",0.355288416147232,0.968682825565338,0.7662478089332581
9,1613704,['Aeg' 'Mo' 'Olam'],"[10, 60, 30]",[0.09101843 0.74525889 0.16372269],0.31535926462469893,0,10,60,0,0,0,0,0,0,30,0,0,"['[Cl-].NC(=[NH2+])NCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'CCCCCCCC/C=C\\CCCCCCCCNC(=O)C(=C)']",0.9998483657836914,0.4993670284748077,0.9996546506881714
10,1851986,['Aeg' 'Mo' 'Mep' 'Oct' 'Olam'],"[20, 35, 45]",[0.19379878 0.06611769 0.39113704 0.20369543 0.14525107],0.3885206590427881,0,20,5,30,0,0,0,0,20,25,0,0,"['[Cl-].NC(=[NH2+])NCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'C=CC(=O)NCCCOC', 'CCCCCCCCNC(=O)C=C', 'CCCCCCCC/C=C\\CCCCCCCCNC(=O)C(=C)']",0.9999994039535522,0.4113862812519073,0.999999
11,1887329,['Tma' 'Aeg' 'Ni' 'Tmb'],"[55, 0, 45]",[0.28880713 0.17707707 0.30146605 0.23264975],0.3971776918162793,35,20,0,0,20,0,0,0,0,0,0,25,"['C[N+](C)(C)CCCNC(=O)C=C', '[Cl-].NC(=[NH2+])NCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'CC(C)(C)CC(C)(C)NC(=O)C=C']",0.9909666776657104,0.9989105463027954,0.3756181597709656
12,1978848,['Tma' 'Aeg' 'Phe' 'Olam'],"[55, 0, 45]",[0.45042781 0.10740022 0.28118029 0.16099169],0.4423664348282574,45,10,0,0,0,20,0,0,0,25,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', '[Cl-].NC(=[NH2+])NCCNC(=O)C=C', 'C=CC(=O)Nc1ccccc1', 'CCCCCCCC/C=C\\CCCCCCCCNC(=O)C(=C)']",0.9999991655349731,0.9999984502792358,0.3503236770629883
13,2000110,['Tma' 'Aeg' 'Ni' 'Tmb'],"[55, 0, 45]",[0.26581183 0.16297791 0.48555995 0.08565032],0.2661676346508392,35,20,0,0,35,0,0,0,0,0,0,10,"['C[N+](C)(C)CCCNC(=O)C=C', '[Cl-].NC(=[NH2+])NCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'CC(C)(C)CC(C)(C)NC(=O)C=C']",0.8250001668930054,0.9601200222969056,0.3304130434989929
14,2043987,['Tma' 'Do'],"[75, 0, 25]",[0.77650798 0.22349202],0.22925339317034785,75,0,0,0,0,0,25,0,0,0,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'CCCCCCCCCCCCNC(=O)C=C']",0.9991018772125244,0.9994845390319824,0.6132895946502686
15,2485363,['Tma' 'Mo' 'Olam' 'Tmb'],"[15, 50, 35]",[0.11974787 0.58447454 0.02568013 0.27009746],0.42288555038082043,15,0,50,0,0,0,0,0,0,5,0,30,"['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'CCCCCCCC/C=C\\CCCCCCCCNC(=O)C(=C)', 'CC(C)(C)CC(C)(C)NC(=O)C=C']",0.2495845854282379,0.9953428506851196,0.9023825526237488
16,2515698,['Tma' 'Aeg' 'Phe'],"[85, 0, 15]",[0.60449296 0.19957234 0.1959347 ],0.5062019282511004,65,20,0,0,0,15,0,0,0,0,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', '[Cl-].NC(=[NH2+])NCCNC(=O)C=C', 'C=CC(=O)Nc1ccccc1']",0.610748827457428,0.8892530798912048,0.0013602251419797
17,2626698,['Tma' 'Ni' 'Phe'],"[55, 0, 45]",[0.42715473 0.35467542 0.21816985],0.23569962227553312,55,0,0,0,25,20,0,0,0,0,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)Nc1ccccc1']",0.4956517219543457,0.0819000527262687,0.0003972968261223
18,2637497,['Tma' 'Ni' 'Phe'],"[55, 0, 45]",[0.4571289  0.07591272 0.46695838],0.5197296006348275,55,0,0,0,5,40,0,0,0,0,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)Nc1ccccc1']",0.3968856632709503,0.9639607071876526,0.0391220785677433
19,2836346,['Tma' 'Aeg' 'Do' 'Olam'],"[80, 0, 20]",[0.6145767  0.21980993 0.13266411 0.03294926],0.3240085153392735,60,20,0,0,0,0,15,0,0,5,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', '[Cl-].NC(=[NH2+])NCCNC(=O)C=C', 'CCCCCCCCCCCCNC(=O)C=C', 'CCCCCCCC/C=C\\CCCCCCCCNC(=O)C(=C)']",0.9999637603759766,0.997733235359192,0.4826985001564026
