,ID,mol_distribution,monomers,sequence
29576,000000004726799_00001,"[0.53015963 0.04740432 0.06469109 0.12756588 0.0807038  0.04982509
 0.09965019]",['Tma' 'Aeg' 'Mo' 'Mep' 'Ni' 'Oct' 'Tmb'],TmaMoTmaTmaMepTmaTmaMepAegOctTmaTmbTmaNiTmaMepNiTmaMoTmaTmaAegTmaTmaTmaTmaTmaTmbNiTmaAegTmbMoMoTmaTmaTmaTmbNiTmaTmaMepNiMepMepTmaTmaTmbTmaTmaMepTmaTmaNiTmaTmaTmbMepTmaMoTmaTmbTmaTmaTmaOctOctTmaMepTma
109795,000000004594425_00001,[0.32495715 0.04358415 0.23791136 0.29321436 0.07420013 0.02613286],['Tma' 'Aeg' 'Mo' 'Mep' 'Ni' 'Olam'],TmaMoTmaTmaNiMepTmaTmaTmaNiMoMoOlamMoTmaMoTmaMepOlamNiMoTmaTmaMoMoMepTmaTmaMepMoTmaMepMepTmaTmaMepMepMoMepMepMepAegAegTmaMepNiAegTmaTmaNiMepTmaTmaTmaMepMepMoMoMoMepMoMepMepTmaMoMepTmaMepMoMo
111077,000000004737976_00001,[0.12304563 0.04400859 0.18017116 0.29606977 0.22476813 0.13193673],['Tma' 'Aeg' 'Mo' 'Mep' 'Ni' 'Olam'],TmaMoMepMepMepTmaMepTmaMoTmaTmaMepOlamMoMoTmaNiMepOlamOlamMepTmaMepMoNiMepOlamNiMoMepMepMepMoMepOlamTmaNiNiOlamMepMepNiOlamAegMepMoMoNiMepNiAegMoMepNiMoOlamMepNiNiTmaMepAegNiNiNiNiOlamMepMoNi
184517,000000003194453_00001,[0.26648176 0.04084717 0.39019937 0.10992047 0.13908106 0.05347018],['Tma' 'Aeg' 'Mo' 'Mep' 'Ni' 'Phe'],MoMoMoMoMepMoMoMoTmaMoTmaMepTmaNiMoMepTmaMepTmaMoMoTmaNiMoMoNiMoTmaMoTmaTmaTmaPheMoMoNiNiNiMepMoTmaMepTmaMoNiMoMoTmaNiAegNiMepMoMepTmaMoNiMoTmaTmaAegPhePhePheMoMoTmaTmaMoAeg
185032,000000003196074_00001,[0.3149557  0.04224273 0.28823623 0.22735191 0.07191642 0.05529701],['Tma' 'Aeg' 'Mo' 'Mep' 'Ni' 'Phe'],TmaMepNiNiMoTmaMepTmaPheTmaTmaMoAegMoMoMoPheMepMepTmaMepMoTmaMoMepMepTmaMoMoMoTmaMepTmaMepTmaNiTmaMoPheMoMoMoTmaTmaAegMepMoMepTmaMoMepPheTmaTmaTmaMepTmaMoMepTmaMepMoNiMoMoMepTmaAegTmaNi
210576,000000003907926_00001,[0.22144372 0.03960086 0.37829381 0.10656663 0.20225624 0.05183873],['Tma' 'Aeg' 'Mo' 'Mep' 'Ni' 'Phe'],TmaNiAegTmaMoMepMepNiMoTmaPheMoTmaMoPheMoTmaMepNiTmaMoMepNiNiAegNiMoNiMoMoMoMepMoNiNiMoTmaNiMoMoMoMoMoPheTmaTmaAegMoMoTmaPheMoMoMoTmaTmaNiMoMepMoMepMoNiNiTmaNiTmaTmaMoTma
221073,000000003289035_00001,[0.23007822 0.04114497 0.28074584 0.22144372 0.14009505 0.0864922 ],['Tma' 'Aeg' 'Mo' 'Mep' 'Ni' 'Tmb'],TmaMepMoAegMoMepNiMepMepAegMoMoMepTmaMoMoMepTmbNiTmaMoTmbTmaMoMepMoTmaNiMepTmaNiMoMepTmbNiMepMoMepTmaNiMoMepTmbMoTmaMoTmaTmaMepTmbTmaMoMoTmaNiNiAegMepMoNiTmbTmaTmaMepNiMoMoTmaMoTma
227324,000000003982602_00001,[0.32221385 0.04321621 0.35385435 0.11629562 0.07357373 0.09084623],['Tma' 'Aeg' 'Mo' 'Mep' 'Ni' 'Tmb'],MepTmaNiTmbTmaTmaTmbMoMoTmaMepMoTmaTmaMoTmbTmaMoTmaMoMoTmaTmaMoTmaMoTmaNiNiMepMoAegTmaTmaMepTmaMoMoMoTmbTmaMoMepMoMoNiAegNiMoMoMepTmaMepAegTmaMoTmaMepTmbTmaTmaMoTmaMoMoTmaMoMoMoTmb
230174,000000004263116_00001,[0.18056183 0.03874792 0.31726799 0.05213568 0.32983329 0.08145329],['Tma' 'Aeg' 'Mo' 'Mep' 'Ni' 'Tmb'],MoTmbNiAegTmbNiMepMoMoMoTmaNiMoMoTmbMoNiMoTmaMoMoTmaNiNiAegTmbNiMoMoNiMoMoMoNiTmaTmbMoMoNiNiTmaNiTmaNiTmbMepMepNiNiNiMoTmaMoTmaTmaTmaMepTmaNiMoTmaAegNiNiMoNiMoNiNiNi
243487,000000004728214_00001,[0.56858044 0.04692897 0.19212722 0.06314336 0.07989454 0.04932548],['Tma' 'Aeg' 'Mo' 'Mep' 'Ni' 'Tmb'],MepTmaTmaMoTmbNiTmaNiMoNiMoTmaTmaMoNiTmaTmaTmaMoNiAegTmaMoTmaTmaMoTmbTmbTmaTmaTmaTmaMoAegTmaTmaTmaTmaTmaTmaTmaTmaTmaMoNiTmaTmaTmaMoTmaTmaAegMepTmaMepTmbTmaTmaTmaMoMepTmaTmaTmaMoTmaMoTmaTmaTma
