,ID,sequence,seq_mol_dist,monomers,mon_SMILES,wt_%,mol_distribution,DP,MIC_ecoli,MIC_saureus,HC50,immunogenic
0,0,NiMoNiNiNiNiTmaTmaNiTmaTmaTmaNiTmaTmaTmaTmaNiTmaNiNiNiTmaNiNiNiMoTmaMoMoTmaNiNiTmaNiTmaNiNiNiNiTmaMoNiTmaNiNiNiMoTmaTmaMoNiNiNiTmaNiTmaTmaNiTmaTmaNiMoMoTmaTmaNiMoTmaTma,"[0.5348896097295, 0.3346474812165571, 0.13046290905394292]","['Tma', 'Ni', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)N1CCOCC1']","[59.1, 30.7, 10.2]","[0.4542123849646637, 0.43100113585911337, 0.11478647917622276]",70,>512,>512,>2000,No
1,0,TmaTmaTmaMoNiTmaTmaTmaNiTmaNiTmaNiTmaTmaTmaNiTmaNiNiTmaNiNiTmaTmaMoTmaTmaTmaMoMoNiNiNiNiMoNiNiNiNiMoNiMoMoNiMoNiTmaNiTmaNiNiTmaTmaTmaNiMoTmaNiTmaNiNiTmaMoTmaMoNiNiNiNi,"[0.5175815646048426, 0.32531806509588546, 0.15710037029927196]","['Tma', 'Ni', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)N1CCOCC1']","[59.1, 30.7, 10.2]","[0.4542123849646637, 0.43100113585911337, 0.11478647917622276]",70,>512,>512,>2000,No
2,0,NiNiTmaTmaTmaTmaNiNiTmaTmaNiNiTmaTmaMoNiTmaMoNiTmaTmaTmaTmaNiNiNiMoTmaTmaNiNiTmaTmaTmaNiTmaTmaNiNiNiTmaNiTmaTmaNiNiTmaNiMoNiMoNiTmaNiNiNiTmaTmaTmaNiNiNiTmaNiTmaNiNiNiNiNi,"[0.5706148926870789, 0.3644360608221572, 0.06494904649076395]","['Tma', 'Ni', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)N1CCOCC1']","[59.1, 30.7, 10.2]","[0.4542123849646637, 0.43100113585911337, 0.11478647917622276]",70,>512,>512,>2000,No
3,0,TmaTmaTmaNiNiNiTmaNiNiTmaNiTmaNiTmaNiNiNiNiNiMoNiTmaNiTmaNiTmaTmaNiNiTmaMoNiNiNiTmaTmaNiTmaTmaNiMoTmaNiTmaTmaNiTmaTmaNiTmaTmaMoTmaTmaTmaTmaTmaNiMoTmaTmaTmaNiTmaTmaTmaNiNiNiTma,"[0.6382470998191523, 0.2994839221913457, 0.062268977989502]","['Tma', 'Ni', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)N1CCOCC1']","[59.1, 30.7, 10.2]","[0.4542123849646637, 0.43100113585911337, 0.11478647917622276]",70,>512,>512,>2000,No
4,0,TmaNiTmaNiNiTmaNiMoNiTmaTmaTmaTmaTmaNiNiTmaNiNiNiTmaNiTmaTmaNiTmaMoNiMoTmaTmaTmaNiNiTmaNiTmaTmaTmaTmaTmaNiTmaTmaNiTmaNiNiMoMoMoTmaTmaTmaNiTmaNiNiTmaNiTmaNiTmaTmaMoMoNiTmaNiTma,"[0.6335505927126598, 0.26755216720828257, 0.09889724007905754]","['Tma', 'Ni', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)N1CCOCC1']","[59.1, 30.7, 10.2]","[0.4542123849646637, 0.43100113585911337, 0.11478647917622276]",70,>512,>512,>2000,No
5,0,MoTmaTmaTmaNiNiTmaTmaTmaTmaNiTmaTmaNiTmaTmaTmaTmaNiNiTmaTmaNiMoMoMoNiMoTmaNiNiNiTmaNiTmaTmaTmaTmaTmaNiNiTmaTmaTmaTmaNiNiNiNiNiNiMoNiTmaNiTmaNiTmaTmaNiMoNiNiNiTmaTmaNiNiTmaTma,"[0.6220710446212905, 0.290462799954328, 0.08746615542438153]","['Tma', 'Ni', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)N1CCOCC1']","[59.1, 30.7, 10.2]","[0.4542123849646637, 0.43100113585911337, 0.11478647917622276]",70,>512,>512,>2000,No
6,0,TmaNiTmaTmaMoNiTmaTmaTmaTmaTmaTmaTmaTmaMoTmaMoTmaNiNiTmaTmaTmaTmaNiTmaTmaTmaNiNiNiTmaNiTmaNiNiNiNiMoMoTmaTmaTmaTmaTmaTmaNiTmaNiMoNiMoTmaNiNiTmaNiTmaTmaTmaTmaNiTmaNiNiNiTmaNiNiMo,"[0.6589569926843537, 0.243740000327399, 0.09730300698824722]","['Tma', 'Ni', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)N1CCOCC1']","[59.1, 30.7, 10.2]","[0.4542123849646637, 0.43100113585911337, 0.11478647917622276]",70,>512,>512,>2000,No
7,0,MoNiTmaMoNiTmaNiTmaTmaTmaNiMoNiTmaNiNiTmaTmaTmaTmaNiTmaMoTmaTmaNiTmaTmaNiTmaNiMoNiTmaNiTmaNiMoNiTmaTmaTmaTmaTmaTmaTmaTmaNiTmaTmaNiTmaTmaTmaTmaTmaNiNiNiTmaTmaNiNiNiTmaNiNiNiTmaNi,"[0.6621529079416585, 0.2645159000260591, 0.07333119203228226]","['Tma', 'Ni', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)N1CCOCC1']","[59.1, 30.7, 10.2]","[0.4542123849646637, 0.43100113585911337, 0.11478647917622276]",70,>512,>512,>2000,No
8,0,TmaTmaTmaTmaNiNiTmaTmaTmaNiNiNiTmaNiNiTmaMoNiNiTmaTmaNiTmaTmaNiNiNiTmaNiTmaNiTmaTmaTmaTmaTmaTmaMoTmaMoNiNiNiNiNiTmaNiNiNiNiNiNiNiTmaNiMoNiNiTmaNiNiMoMoTmaTmaTmaTmaNiNiTma,"[0.5691479988546004, 0.35311350470274666, 0.07773849644265292]","['Tma', 'Ni', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)N1CCOCC1']","[59.1, 30.7, 10.2]","[0.4542123849646637, 0.43100113585911337, 0.11478647917622276]",70,>512,>512,>2000,No
9,0,TmaTmaNiNiTmaNiNiMoNiNiNiTmaTmaNiTmaNiNiTmaTmaTmaTmaNiNiTmaMoNiMoTmaNiNiNiMoMoNiTmaTmaNiTmaTmaTmaNiNiTmaMoTmaTmaMoTmaNiTmaTmaTmaTmaNiTmaTmaNiNiNiMoTmaTmaNiNiTmaNiTmaTmaNiTma,"[0.6072977975380216, 0.2921576186096863, 0.10054458385229197]","['Tma', 'Ni', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)N1CCOCC1']","[59.1, 30.7, 10.2]","[0.4542123849646637, 0.43100113585911337, 0.11478647917622276]",70,>512,>512,>2000,No
10,0,NiMoNiTmaTmaNiNiTmaNiTmaNiTmaNiNiTmaNiMoTmaNiTmaMoTmaNiNiNiTmaNiTmaTmaMoTmaMoMoMoNiNiTmaNiTmaNiNiMoTmaTmaTmaTmaTmaNiMoNiNiNiNiNiTmaMoTmaMoNiTmaNiNiNiTmaTmaNiTmaMoNiTma,"[0.5175815646048426, 0.32531806509588546, 0.15710037029927196]","['Tma', 'Ni', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)N1CCOCC1']","[59.1, 30.7, 10.2]","[0.4542123849646637, 0.43100113585911337, 0.11478647917622276]",70,>512,>512,>2000,No
11,0,NiTmaNiTmaMoMoNiNiNiNiTmaTmaMoNiTmaNiNiTmaTmaTmaTmaTmaTmaTmaTmaTmaTmaTmaTmaTmaNiMoTmaTmaNiTmaNiNiNiNiNiNiNiTmaTmaTmaNiNiTmaNiTmaNiTmaTmaNiTmaTmaTmaTmaTmaNiNiTmaNiTmaTmaTmaTmaNiTma,"[0.6901133312046459, 0.26154777262536494, 0.0483388961699891]","['Tma', 'Ni', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)N1CCOCC1']","[59.1, 30.7, 10.2]","[0.4542123849646637, 0.43100113585911337, 0.11478647917622276]",70,>512,>512,>2000,No
12,0,TmaTmaTmaTmaTmaNiMoNiTmaTmaTmaTmaNiMoTmaMoTmaNiNiNiMoTmaNiTmaTmaNiTmaNiNiTmaNiTmaNiMoTmaMoNiMoNiTmaNiMoNiNiMoNiTmaNiNiTmaMoTmaNiTmaNiTmaNiNiTmaTmaTmaNiNiTmaTmaTmaTmaNiNiTma,"[0.5908690564453457, 0.28302887922178843, 0.12610206433286586]","['Tma', 'Ni', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)N1CCOCC1']","[59.1, 30.7, 10.2]","[0.4542123849646637, 0.43100113585911337, 0.11478647917622276]",70,>512,>512,>2000,No
13,0,TmaNiTmaNiMoTmaMoNiNiTmaNiNiTmaMoTmaNiTmaTmaNiTmaNiTmaTmaTmaTmaTmaTmaTmaTmaTmaTmaMoNiTmaNiTmaTmaNiNiNiNiNiNiNiNiTmaNiNiNiMoTmaTmaTmaTmaTmaMoNiNiTmaTmaNiMoNiNiTmaMoNiTmaTmaNi,"[0.6072977975380216, 0.2921576186096863, 0.10054458385229197]","['Tma', 'Ni', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)N1CCOCC1']","[59.1, 30.7, 10.2]","[0.4542123849646637, 0.43100113585911337, 0.11478647917622276]",70,>512,>512,>2000,No
