,ID,sequence,seq_mol_dist,monomers,mon_SMILES,wt_%,mol_distribution,DP,MIC_ecoli,MIC_saureus,HC50,immunogenic
0,0,NiNiTmaTmaNiNiNiNiTmaNiMoNiNiTmaNiTmaNiNiNiMoNiNiNiNiNiNiNiNiNiTmaTmaTmaNiNiNiNiMoNiNiNiMoMoNiTmaNiNiTmaTmaTmaTmaTmaNiNiNiTmaMoNiTmaTmaTmaTmaTmaNiNiTmaTmaNiNiNiNi,"[0.44815794452941465, 0.4683700982324466, 0.0834719572381388]","['Tma', 'Ni', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)N1CCOCC1']","[59.1, 30.7, 10.2]","[0.4542123849646637, 0.43100113585911337, 0.11478647917622276]",70,>512,>512,>2000,No
1,0,NiMoTmaNiMoNiNiNiNiNiNiTmaTmaTmaNiMoNiMoTmaNiNiNiNiMoTmaNiTmaTmaTmaNiNiMoTmaTmaMoMoTmaTmaTmaNiMoNiNiTmaTmaTmaTmaTmaNiTmaTmaNiTmaNiNiNiTmaMoNiNiTmaNiTmaNiMoNiNiTmaNiNi,"[0.5040945973450539, 0.35025479266264653, 0.1456506099922995]","['Tma', 'Ni', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)N1CCOCC1']","[59.1, 30.7, 10.2]","[0.4542123849646637, 0.43100113585911337, 0.11478647917622276]",70,>512,>512,>2000,No
2,0,NiNiNiTmaTmaTmaTmaTmaNiTmaTmaMoNiNiNiTmaMoNiNiTmaMoMoTmaMoNiTmaTmaNiNiNiTmaTmaTmaTmaTmaTmaTmaNiTmaTmaNiTmaTmaMoMoTmaTmaNiNiTmaNiNiTmaNiNiTmaNiTmaNiMoTmaNiTmaTmaTmaTmaTmaNiNiTma,"[0.646357013066877, 0.25554934040239446, 0.09809364653072852]","['Tma', 'Ni', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)N1CCOCC1']","[59.1, 30.7, 10.2]","[0.4542123849646637, 0.43100113585911337, 0.11478647917622276]",70,>512,>512,>2000,No
3,0,MoNiNiNiTmaNiNiMoTmaNiNiNiMoTmaTmaNiTmaTmaTmaTmaNiTmaTmaNiMoNiTmaNiNiNiTmaNiTmaTmaTmaNiTmaNiNiTmaNiTmaNiNiMoTmaNiTmaMoTmaNiTmaTmaTmaMoTmaTmaTmaNiNiMoMoNiTmaTmaNiTmaTmaTmaNi,"[0.5923511380518659, 0.29387233150859365, 0.11377653043954046]","['Tma', 'Ni', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)N1CCOCC1']","[59.1, 30.7, 10.2]","[0.4542123849646637, 0.43100113585911337, 0.11478647917622276]",70,>512,>512,>2000,No
4,0,NiNiNiMoMoNiTmaMoTmaNiTmaNiTmaTmaNiTmaNiNiNiTmaMoTmaTmaNiNiTmaNiTmaTmaTmaNiMoTmaNiNiTmaNiNiNiTmaTmaTmaTmaNiNiTmaTmaTmaMoNiMoTmaTmaNiNiTmaNiTmaTmaMoTmaTmaTmaTmaNiNiMoMoNiTma,"[0.5908690564453457, 0.28302887922178843, 0.12610206433286586]","['Tma', 'Ni', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)N1CCOCC1']","[59.1, 30.7, 10.2]","[0.4542123849646637, 0.43100113585911337, 0.11478647917622276]",70,>512,>512,>2000,No
5,0,TmaTmaNiTmaMoNiMoNiMoNiTmaTmaNiNiMoMoTmaNiTmaMoNiNiNiTmaNiNiMoNiNiTmaTmaNiTmaTmaNiTmaMoTmaTmaNiTmaTmaNiMoTmaNiNiNiNiTmaNiNiNiTmaNiNiTmaTmaTmaNiNiTmaMoTmaTmaNiNiTmaNiNi,"[0.5202845117295833, 0.3481148301272937, 0.13160065814312283]","['Tma', 'Ni', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)N1CCOCC1']","[59.1, 30.7, 10.2]","[0.4542123849646637, 0.43100113585911337, 0.11478647917622276]",70,>512,>512,>2000,No
6,0,TmaNiNiNiNiTmaTmaTmaTmaNiMoNiTmaTmaTmaNiNiTmaTmaNiNiTmaTmaNiNiNiNiTmaTmaNiTmaMoNiTmaNiTmaTmaNiMoTmaMoTmaTmaTmaTmaNiNiTmaTmaNiNiNiTmaTmaNiTmaTmaTmaTmaNiNiNiTmaTmaNiMoTmaTmaNiTma,"[0.6511092348007927, 0.28713147636942693, 0.06175928882978025]","['Tma', 'Ni', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)N1CCOCC1']","[59.1, 30.7, 10.2]","[0.4542123849646637, 0.43100113585911337, 0.11478647917622276]",70,>512,>512,>2000,No
7,0,MoNiNiTmaTmaTmaTmaNiTmaTmaTmaTmaTmaTmaTmaTmaNiTmaTmaNiMoTmaNiTmaTmaTmaMoTmaNiTmaNiTmaMoMoTmaMoNiNiTmaNiNiTmaNiTmaNiMoMoNiTmaNiTmaNiTmaNiTmaTmaMoTmaMoTmaNiNiTmaTmaTmaNiTmaTmaNiTma,"[0.6681563770606148, 0.21176230414589747, 0.12008131879348768]","['Tma', 'Ni', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)N1CCOCC1']","[59.1, 30.7, 10.2]","[0.4542123849646637, 0.43100113585911337, 0.11478647917622276]",70,>512,>512,>2000,No
8,0,NiTmaNiNiTmaNiTmaTmaNiTmaMoTmaMoNiNiTmaNiTmaTmaTmaNiMoTmaTmaMoMoTmaMoNiNiNiNiMoTmaTmaMoTmaNiNiTmaTmaMoNiNiNiTmaTmaNiNiNiTmaTmaNiTmaTmaTmaTmaMoNiNiNiNiNiTmaTmaTmaNiNiTmaNi,"[0.563355075491924, 0.3083994985374007, 0.12824542597067534]","['Tma', 'Ni', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)N1CCOCC1']","[59.1, 30.7, 10.2]","[0.4542123849646637, 0.43100113585911337, 0.11478647917622276]",70,>512,>512,>2000,No
9,0,NiNiNiNiTmaNiNiNiTmaNiNiTmaMoNiNiTmaTmaTmaTmaMoTmaTmaTmaTmaTmaTmaTmaNiTmaTmaTmaNiTmaTmaNiNiTmaNiTmaNiMoNiTmaNiNiNiNiNiNiTmaTmaTmaNiTmaNiNiTmaNiNiNiNiTmaTmaTmaMoTmaNiNiTmaTma,"[0.6134164359343512, 0.335804769437043, 0.05077879462860565]","['Tma', 'Ni', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)N1CCOCC1']","[59.1, 30.7, 10.2]","[0.4542123849646637, 0.43100113585911337, 0.11478647917622276]",70,>512,>512,>2000,No
