ID,sequence,immunogenic
SID1,NiMoNiNiNiNiTmaTmaNiTmaTmaTmaNiTmaTmaTmaTmaNiTmaNiNiNiTmaNiNiNiMoTmaMoMoTmaNiNiTmaNiTmaNiNiNiNiTmaMoNiTmaNiNiNiMoTmaTmaMoNiNiNiTmaNiTmaTmaNiTmaTmaNiMoMoTmaTmaNiMoTmaTma,No
SID2,TmaTmaTmaMoNiTmaTmaTmaNiTmaNiTmaNiTmaTmaTmaNiTmaNiNiTmaNiNiTmaTmaMoTmaTmaTmaMoMoNiNiNiNiMoNiNiNiNiMoNiMoMoNiMoNiTmaNiTmaNiNiTmaTmaTmaNiMoTmaNiTmaNiNiTmaMoTmaMoNiNiNiNi,No
SID3,NiNiTmaTmaTmaTmaNiNiTmaTmaNiNiTmaTmaMoNiTmaMoNiTmaTmaTmaTmaNiNiNiMoTmaTmaNiNiTmaTmaTmaNiTmaTmaNiNiNiTmaNiTmaTmaNiNiTmaNiMoNiMoNiTmaNiNiNiTmaTmaTmaNiNiNiTmaNiTmaNiNiNiNiNi,No
SID4,TmaTmaTmaNiNiNiTmaNiNiTmaNiTmaNiTmaNiNiNiNiNiMoNiTmaNiTmaNiTmaTmaNiNiTmaMoNiNiNiTmaTmaNiTmaTmaNiMoTmaNiTmaTmaNiTmaTmaNiTmaTmaMoTmaTmaTmaTmaTmaNiMoTmaTmaTmaNiTmaTmaTmaNiNiNiTma,No
SID5,TmaNiTmaNiNiTmaNiMoNiTmaTmaTmaTmaTmaNiNiTmaNiNiNiTmaNiTmaTmaNiTmaMoNiMoTmaTmaTmaNiNiTmaNiTmaTmaTmaTmaTmaNiTmaTmaNiTmaNiNiMoMoMoTmaTmaTmaNiTmaNiNiTmaNiTmaNiTmaTmaMoMoNiTmaNiTma,No
SID6,MoTmaTmaTmaNiNiTmaTmaTmaTmaNiTmaTmaNiTmaTmaTmaTmaNiNiTmaTmaNiMoMoMoNiMoTmaNiNiNiTmaNiTmaTmaTmaTmaTmaNiNiTmaTmaTmaTmaNiNiNiNiNiNiMoNiTmaNiTmaNiTmaTmaNiMoNiNiNiTmaTmaNiNiTmaTma,No
SID7,TmaNiTmaTmaMoNiTmaTmaTmaTmaTmaTmaTmaTmaMoTmaMoTmaNiNiTmaTmaTmaTmaNiTmaTmaTmaNiNiNiTmaNiTmaNiNiNiNiMoMoTmaTmaTmaTmaTmaTmaNiTmaNiMoNiMoTmaNiNiTmaNiTmaTmaTmaTmaNiTmaNiNiNiTmaNiNiMo,No
SID8,MoNiTmaMoNiTmaNiTmaTmaTmaNiMoNiTmaNiNiTmaTmaTmaTmaNiTmaMoTmaTmaNiTmaTmaNiTmaNiMoNiTmaNiTmaNiMoNiTmaTmaTmaTmaTmaTmaTmaTmaNiTmaTmaNiTmaTmaTmaTmaTmaNiNiNiTmaTmaNiNiNiTmaNiNiNiTmaNi,No
SID9,TmaTmaTmaTmaNiNiTmaTmaTmaNiNiNiTmaNiNiTmaMoNiNiTmaTmaNiTmaTmaNiNiNiTmaNiTmaNiTmaTmaTmaTmaTmaTmaMoTmaMoNiNiNiNiNiTmaNiNiNiNiNiNiNiTmaNiMoNiNiTmaNiNiMoMoTmaTmaTmaTmaNiNiTma,No
SID10,TmaTmaNiNiTmaNiNiMoNiNiNiTmaTmaNiTmaNiNiTmaTmaTmaTmaNiNiTmaMoNiMoTmaNiNiNiMoMoNiTmaTmaNiTmaTmaTmaNiNiTmaMoTmaTmaMoTmaNiTmaTmaTmaTmaNiTmaTmaNiNiNiMoTmaTmaNiNiTmaNiTmaTmaNiTma,No
SID11,NiMoNiTmaTmaNiNiTmaNiTmaNiTmaNiNiTmaNiMoTmaNiTmaMoTmaNiNiNiTmaNiTmaTmaMoTmaMoMoMoNiNiTmaNiTmaNiNiMoTmaTmaTmaTmaTmaNiMoNiNiNiNiNiTmaMoTmaMoNiTmaNiNiNiTmaTmaNiTmaMoNiTma,No
SID12,NiTmaNiTmaMoMoNiNiNiNiTmaTmaMoNiTmaNiNiTmaTmaTmaTmaTmaTmaTmaTmaTmaTmaTmaTmaTmaNiMoTmaTmaNiTmaNiNiNiNiNiNiNiTmaTmaTmaNiNiTmaNiTmaNiTmaTmaNiTmaTmaTmaTmaTmaNiNiTmaNiTmaTmaTmaTmaNiTma,No
SID13,TmaTmaTmaTmaTmaNiMoNiTmaTmaTmaTmaNiMoTmaMoTmaNiNiNiMoTmaNiTmaTmaNiTmaNiNiTmaNiTmaNiMoTmaMoNiMoNiTmaNiMoNiNiMoNiTmaNiNiTmaMoTmaNiTmaNiTmaNiNiTmaTmaTmaNiNiTmaTmaTmaTmaNiNiTma,No
SID14,TmaNiTmaNiMoTmaMoNiNiTmaNiNiTmaMoTmaNiTmaTmaNiTmaNiTmaTmaTmaTmaTmaTmaTmaTmaTmaTmaMoNiTmaNiTmaTmaNiNiNiNiNiNiNiNiTmaNiNiNiMoTmaTmaTmaTmaTmaMoNiNiTmaTmaNiMoNiNiTmaMoNiTmaTmaNi,No
SID15,MoNiTmaTmaTmaNiNiTmaNiMoNiTmaTmaTmaMoTmaNiMoNiTmaNiTmaTmaTmaMoTmaTmaNiTmaNiTmaTmaTmaTmaTmaTmaTmaNiTmaNiNiTmaTmaTmaTmaNiMoMoNiNiMoNiNiTmaNiNiNiTmaNiTmaTmaNiTmaNiNiNiNiTmaNiNi,No
SID16,NiTmaTmaNiTmaMoTmaNiNiTmaTmaNiNiNiMoNiTmaTmaTmaMoMoNiTmaNiNiNiNiNiTmaNiNiNiMoMoTmaNiNiTmaTmaNiMoTmaTmaNiTmaNiNiNiNiNiNiNiNiTmaTmaMoNiTmaMoMoTmaNiTmaTmaMoTmaTmaTmaTmaNi,No
SID17,TmaNiNiNiTmaTmaNiNiTmaNiMoTmaMoTmaNiTmaMoMoTmaNiMoNiTmaNiNiMoNiTmaNiNiTmaTmaNiTmaTmaNiMoNiNiNiNiMoNiTmaNiNiNiNiNiTmaTmaTmaNiTmaTmaTmaNiTmaNiNiNiNiNiTmaTmaTmaNiNiNiTma,No
SID18,NiTmaTmaTmaNiNiNiTmaTmaTmaNiNiNiTmaNiNiNiTmaTmaNiNiNiTmaNiTmaNiNiNiTmaNiTmaTmaTmaMoTmaTmaTmaTmaNiNiTmaMoTmaTmaNiTmaTmaTmaTmaTmaTmaTmaNiTmaTmaNiTmaTmaNiNiTmaNiTmaNiNiNiNiTmaTmaMo,No
SID19,MoNiNiTmaNiTmaNiNiNiTmaNiTmaNiTmaTmaTmaTmaTmaTmaNiTmaNiTmaNiNiTmaTmaNiTmaTmaTmaNiNiNiTmaMoTmaTmaTmaMoTmaTmaTmaTmaNiNiNiNiNiMoNiNiNiNiTmaNiTmaMoNiMoNiMoNiNiNiTmaNiNiNiTma,No
SID20,NiTmaMoTmaTmaTmaTmaNiMoNiTmaTmaTmaNiTmaTmaNiNiTmaTmaTmaMoNiTmaNiTmaNiTmaNiTmaTmaTmaNiMoNiNiTmaTmaNiNiNiNiMoTmaNiMoTmaTmaTmaTmaMoNiNiMoNiTmaNiNiNiTmaTmaNiNiTmaNiTmaNiMoMoMo,No
