sample_ID,poly_ID,MIC_ecoli,sequence,seq_mon_mol_dist
1,1,900.8108108108108,TmaTmaTmaNiTmaTmaTmaTmaTmaNiTmaTmaTmaTmaTmaTmaTmaNiNiNiNiNiTmaNiNiNiNiNiTmaMoNiTmaTmaTmaTmaNiMoTmaTmaTmaTmaTmaMoMoNiTmaTmaNiTmaNiMoNiNiMoTmaNiNiTmaTmaTmaTmaTmaNiNiNiNiMoNiNiTma,[0.64793336 0.26602537 0.08604127]
2,1,900.8108108108108,NiNiNiTmaNiTmaTmaMoNiTmaTmaNiMoTmaTmaMoMoTmaTmaNiTmaNiNiTmaTmaTmaNiTmaMoTmaNiNiTmaTmaNiMoTmaTmaTmaTmaNiNiNiNiTmaMoTmaTmaTmaNiTmaNiTmaNiTmaNiTmaNiTmaTmaTmaNiTmaMoNiNiNiMoTmaTma,[0.63200041 0.25701242 0.11098716]
3,1,900.8108108108108,NiNiTmaTmaMoTmaNiNiTmaMoNiTmaTmaNiTmaNiNiNiNiTmaTmaMoTmaTmaNiTmaNiTmaMoNiNiNiNiTmaTmaMoTmaNiNiMoTmaNiMoNiNiNiNiNiTmaTmaTmaMoTmaTmaNiMoNiTmaNiTmaTmaTmaNiNiMoNiTmaTmaNiTma,[0.54924434 0.321411   0.12934466]
4,1,900.8108108108108,NiTmaNiNiNiTmaTmaTmaTmaTmaTmaNiTmaNiNiNiNiNiNiTmaTmaNiNiNiTmaNiNiNiTmaTmaNiNiTmaNiNiTmaNiTmaNiTmaTmaTmaNiTmaTmaTmaNiTmaMoNiNiNiTmaTmaTmaTmaNiMoTmaNiTmaMoTmaTmaNiNiNiTmaNiMo,[0.59987449 0.34891592 0.05120959]
5,1,900.8108108108108,TmaNiTmaNiTmaNiTmaNiNiNiTmaMoTmaTmaMoNiNiNiTmaTmaTmaTmaNiNiTmaTmaTmaNiNiTmaTmaNiNiTmaTmaTmaTmaTmaNiNiTmaNiTmaTmaNiTmaTmaNiNiNiNiNiTmaTmaMoTmaMoTmaTmaTmaNiTmaTmaNiTmaNiNiTmaNiNi,[0.65270888 0.29776231 0.04952881]
6,1,900.8108108108108,TmaNiNiTmaNiNiTmaNiTmaMoNiTmaMoTmaNiTmaTmaMoTmaNiTmaTmaMoNiNiTmaTmaMoNiTmaNiNiTmaNiTmaMoTmaMoTmaMoNiTmaNiTmaNiNiTmaTmaMoTmaTmaTmaTmaTmaNiNiNiTmaNiTmaTmaTmaNiTmaMoMoTmaTmaTmaNi,[0.6289227  0.23608692 0.13499039]
7,1,900.8108108108108,TmaTmaNiTmaNiNiTmaNiTmaNiTmaNiNiNiTmaTmaTmaTmaTmaNiTmaTmaNiNiTmaTmaNiNiTmaTmaNiNiTmaTmaNiTmaNiNiTmaMoNiTmaTmaTmaTmaMoTmaTmaNiMoNiTmaTmaNiNiTmaTmaNiTmaTmaNiTmaTmaNiMoNiNiTmaNiTma,[0.66537997 0.28549431 0.04912572]
8,1,900.8108108108108,TmaNiNiMoNiTmaTmaTmaNiMoMoMoNiTmaTmaNiNiTmaTmaNiTmaTmaNiTmaNiNiNiNiTmaMoNiTmaTmaNiNiTmaTmaNiTmaTmaNiNiNiNiNiNiNiNiNiTmaNiNiNiNiTmaNiTmaTmaMoMoNiTmaNiTmaNiNiNiNiNiNi,[0.47875072 0.42588688 0.0953624 ]
9,1,900.8108108108108,TmaTmaTmaNiTmaTmaNiNiNiTmaTmaNiNiNiNiTmaNiTmaTmaTmaNiTmaTmaNiTmaNiNiTmaNiTmaNiNiNiMoTmaNiTmaTmaTmaNiMoTmaNiMoNiTmaMoTmaMoTmaTmaMoMoNiTmaMoTmaTmaNiTmaTmaTmaTmaMoTmaNiTmaNiNiMo,[0.61747847 0.25849236 0.12402917]
10,1,900.8108108108108,NiNiTmaTmaTmaTmaMoTmaMoNiTmaNiNiTmaTmaTmaMoNiTmaNiMoMoNiMoNiNiNiNiNiNiTmaTmaNiNiTmaTmaMoTmaNiTmaNiNiTmaNiTmaNiTmaMoNiNiNiTmaTmaTmaTmaNiNiTmaTmaTmaTmaNiTmaNiTmaTmaTmaNiMoMo,[0.57722799 0.29560729 0.12716471]
11,1,900.8108108108108,TmaMoNiNiTmaNiNiNiNiTmaMoTmaMoTmaMoNiTmaNiNiTmaTmaMoTmaTmaTmaTmaTmaTmaNiNiTmaTmaTmaNiMoMoNiTmaTmaTmaTmaTmaTmaTmaNiMoNiTmaNiNiTmaNiMoTmaTmaNiTmaTmaNiTmaNiTmaNiNiMoNiNiNiTmaTma,[0.61747847 0.25849236 0.12402917]
12,1,900.8108108108108,TmaTmaNiNiTmaTmaNiNiNiNiNiMoMoMoTmaNiNiTmaNiNiTmaTmaNiTmaTmaTmaTmaTmaNiNiNiTmaTmaTmaTmaTmaTmaNiNiTmaNiNiTmaTmaTmaNiTmaNiNiNiNiTmaTmaTmaNiTmaNiNiNiTmaTmaNiNiTmaTmaNiNiNiNiNi,[0.60140215 0.36009285 0.038505  ]
13,1,900.8108108108108,NiMoTmaTmaMoTmaTmaNiNiNiNiNiTmaTmaMoTmaTmaTmaNiTmaTmaTmaNiTmaNiTmaNiMoTmaTmaMoTmaNiTmaTmaTmaTmaTmaTmaNiTmaTmaNiMoTmaTmaTmaMoNiMoTmaNiTmaMoNiTmaNiTmaMoNiNiTmaTmaNiTmaTmaTmaTmaTmaNi,[0.68032575 0.20054094 0.11913332]
14,1,900.8108108108108,TmaNiNiNiTmaTmaNiTmaNiTmaMoTmaTmaNiMoNiMoTmaNiNiTmaNiNiTmaTmaNiTmaNiTmaTmaTmaTmaTmaNiNiMoNiTmaMoNiNiTmaTmaNiNiMoNiTmaMoNiMoTmaTmaTmaTmaTmaTmaTmaNiMoNiTmaMoNiTmaTmaNiTmaNiMo,[0.58939437 0.27223955 0.13836607]
15,1,900.8108108108108,NiTmaNiTmaTmaNiTmaTmaNiMoNiTmaTmaNiMoTmaNiTmaNiNiTmaMoTmaNiNiTmaTmaNiNiTmaTmaNiTmaTmaNiTmaTmaTmaNiTmaNiNiTmaMoTmaNiMoNiMoNiNiTmaTmaNiTmaTmaTmaNiTmaTmaMoTmaNiNiTmaNiTmaTmaTmaMo,[0.63355059 0.26755217 0.09889724]
16,1,900.8108108108108,NiTmaTmaNiNiTmaNiNiTmaTmaTmaMoNiTmaNiTmaNiNiTmaTmaNiNiNiTmaTmaTmaTmaTmaTmaTmaNiTmaNiNiTmaTmaNiNiNiNiTmaNiTmaNiNiTmaNiTmaTmaNiNiTmaTmaTmaTmaTmaNiNiTmaNiNiTmaTmaMoNiTmaMoNiNiNi,[0.6283018  0.33383724 0.03786096]
17,1,900.8108108108108,TmaTmaNiNiNiNiNiNiMoMoNiTmaTmaNiTmaTmaNiTmaNiNiMoNiNiTmaTmaNiNiMoTmaNiTmaNiNiTmaNiTmaTmaMoNiNiTmaNiTmaTmaTmaNiTmaNiTmaTmaNiTmaTmaMoNiNiNiTmaTmaNiNiNiNiMoNiNiMoTmaTmaNi,[0.52301584 0.37115095 0.10583322]
