ID,y_probs,y_pred,y_true,mask
pepID5716,"[0.5770270228385925, 0.20154158771038055, 0.2214314192533493]",0,0,1
pepID10984,"[0.6514102220535278, 0.15572574734687805, 0.19286400079727173]",0,0,1
polyID40_S44,"[0.0009763369453139603, 0.22292396426200867, 0.7760996222496033]",2,2,1
pepID9794,"[0.6495597958564758, 0.15646801888942719, 0.19397225975990295]",0,0,1
polyID30_S22,"[0.9159525632858276, 0.020612617954611778, 0.06343480199575424]",0,0,1
pepID5453,"[0.9003172516822815, 0.025867782533168793, 0.07381502538919449]",0,0,1
pepID8028,"[0.5589736104011536, 0.23823431134223938, 0.20279209315776825]",0,0,1
pepID10500,"[0.7451704740524292, 0.1003650352358818, 0.15446454286575317]",0,0,1
pepID7720,"[0.7030594348907471, 0.13093502819538116, 0.16600553691387177]",0,0,1
pepID4158,"[0.024979813024401665, 0.3185975253582001, 0.6564226150512695]",2,2,1
polyID22_S55,"[0.03905851021409035, 0.8872079849243164, 0.07373346388339996]",1,1,1
polyID40_S42,"[0.0022173014003783464, 0.2333945333957672, 0.7643881440162659]",2,2,1
polyID9_S91,"[0.12045353651046753, 0.8224436640739441, 0.05710271745920181]",1,0,1
pepID3503,"[0.1773483157157898, 0.3900288939476013, 0.4326227605342865]",2,0,1
pepID2387,"[0.0625854879617691, 0.36858031153678894, 0.5688341856002808]",2,2,1
pepID6178,"[0.913434624671936, 0.020823277533054352, 0.0657421424984932]",0,0,1
polyID50_S17,"[0.041883476078510284, 0.7521194815635681, 0.20599699020385742]",1,1,1
pepID10080,"[0.8204910159111023, 0.0615219809114933, 0.11798703670501709]",0,0,1
pepID9568,"[0.383765310049057, 0.3022763431072235, 0.3139583468437195]",0,0,1
pepID10920,"[0.8839907646179199, 0.03183889016509056, 0.0841703861951828]",0,0,1
pepID2147,"[0.18407802283763885, 0.38315844535827637, 0.43276354670524597]",2,2,1
pepID2974,"[0.05636421963572502, 0.3524506688117981, 0.5911850929260254]",2,0,1
polyID26_S100,"[0.33757150173187256, 0.5833372473716736, 0.07909132540225983]",1,0,1
pepID2718,"[0.05423055961728096, 0.3650757074356079, 0.5806936621665955]",2,2,1
pepID3828,"[0.4289025068283081, 0.2578517198562622, 0.3132457435131073]",0,1,1
pepID6741,"[0.8866445422172546, 0.03209049254655838, 0.08126499503850937]",0,0,1
pepID6598,"[0.8676344156265259, 0.03804486244916916, 0.09432072937488556]",0,0,1
polyID23_S71,"[0.015452060848474503, 0.3340182304382324, 0.6505297422409058]",2,1,1
pepID2307,"[0.0913722887635231, 0.3784305155277252, 0.530197262763977]",2,1,1
pepID179,"[0.08779417723417282, 0.3789232671260834, 0.5332826375961304]",2,2,1
polyID9_S73,"[0.2340724617242813, 0.6977037191390991, 0.06822387129068375]",1,0,1
pepID6121,"[0.4679431915283203, 0.24268825352191925, 0.28936856985092163]",0,0,1
pepID7973,"[0.7955519556999207, 0.07289160043001175, 0.131556436419487]",0,0,1
polyID31_S50,"[0.04941272363066673, 0.5362731218338013, 0.4143141508102417]",1,0,1
pepID1709,"[0.058921221643686295, 0.37473365664482117, 0.5663451552391052]",2,2,1
polyID50_S24,"[0.30500227212905884, 0.4948310852050781, 0.20016661286354065]",1,1,1
polyID11_S63,"[0.001321927411481738, 0.28567445278167725, 0.7130036354064941]",2,1,1
pepID4588,"[0.09343334287405014, 0.3671860098838806, 0.539380669593811]",2,1,1
polyID28_S27,"[0.5987911820411682, 0.16010160744190216, 0.24110710620880127]",0,0,1
pepID9581,"[0.5075660347938538, 0.2235794961452484, 0.2688545286655426]",0,0,1
polyID12_S8,"[0.0022676121443510056, 0.2934828996658325, 0.7042494416236877]",2,1,1
pepID9699,"[0.9265992045402527, 0.01601935364305973, 0.057381488382816315]",0,0,1
pepID10207,"[0.8824869990348816, 0.03395877406001091, 0.0835542231798172]",0,0,1
pepID3236,"[0.2143225520849228, 0.36152857542037964, 0.4241487979888916]",2,2,1
polyID18_S88,"[0.0023020619992166758, 0.29671892523765564, 0.7009789943695068]",2,2,1
pepID10182,"[0.9506831169128418, 0.009010221809148788, 0.040306661278009415]",0,0,1
pepID380,"[0.4285302758216858, 0.27198925614356995, 0.2994804382324219]",0,1,1
polyID40_S11,"[0.0013594449264928699, 0.2118086814880371, 0.7868318557739258]",2,2,1
polyID30_S92,"[0.9476211667060852, 0.009946527890861034, 0.042432401329278946]",0,0,1
polyID31_S86,"[0.15414872765541077, 0.6428301334381104, 0.20302115380764008]",1,0,1
polyID31_S31,"[0.12402816116809845, 0.6283851861953735, 0.2475866675376892]",1,0,1
polyID30_S58,"[0.9168989658355713, 0.020714258775115013, 0.06238678842782974]",0,0,1
polyID31_S14,"[0.2692289650440216, 0.5619238615036011, 0.1688472181558609]",1,0,1
polyID11_S66,"[0.0020017093047499657, 0.39696043729782104, 0.6010379195213318]",2,1,1
pepID4903,"[0.23873364925384521, 0.3686203956604004, 0.3926459848880768]",2,1,1
pepID6419,"[0.9059950113296509, 0.024695053696632385, 0.06930989772081375]",0,0,1
polyID40_S48,"[0.0019996920600533485, 0.2332799732685089, 0.7647203207015991]",2,2,1
polyID50_S4,"[0.40435922145843506, 0.4649105966091156, 0.13073021173477173]",1,1,1
pepID1076,"[0.031100740656256676, 0.35615935921669006, 0.6127398610115051]",2,2,1
pepID2675,"[0.16332539916038513, 0.4341140389442444, 0.4025605022907257]",1,1,1
polyID41_S18,"[0.7546048164367676, 0.09825184941291809, 0.1471434384584427]",0,1,1
pepID1602,"[0.15122802555561066, 0.3963068723678589, 0.45246511697769165]",2,1,1
polyID12_S56,"[0.0020425166003406048, 0.46915772557258606, 0.5287997126579285]",2,1,1
pepID61,"[0.14890338480472565, 0.3911968469619751, 0.4598997235298157]",2,2,1
pepID5137,"[0.697833240032196, 0.12455518543720245, 0.1776115596294403]",0,0,1
polyID26_S74,"[0.3781013488769531, 0.5328136086463928, 0.08908508718013763]",1,0,1
pepID9530,"[0.751501202583313, 0.09745712578296661, 0.15104171633720398]",0,0,1
pepID5587,"[0.9170799255371094, 0.019942976534366608, 0.06297706812620163]",0,0,1
pepID7561,"[0.8930914402008057, 0.028969446197152138, 0.07793904095888138]",0,0,1
pepID1363,"[0.11103643476963043, 0.38670867681503296, 0.502254843711853]",2,2,1
pepID2886,"[0.048743836581707, 0.36421602964401245, 0.5870401263237]",2,1,1
pepID931,"[0.09769920259714127, 0.3893117904663086, 0.5129889845848083]",2,2,1
pepID578,"[0.11336405575275421, 0.390851765871048, 0.495784193277359]",2,1,1
pepID10971,"[0.7351504564285278, 0.10920566320419312, 0.15564383566379547]",0,0,1
pepID9743,"[0.856959879398346, 0.045506369322538376, 0.09753371775150299]",0,0,1
pepID6992,"[0.8909407258033752, 0.029179412871599197, 0.07987990230321884]",0,0,1
polyID36_S64,"[0.35165876150131226, 0.5637141466140747, 0.08462712913751602]",1,2,1
pepID3538,"[0.13603153824806213, 0.4003274142742157, 0.4636410176753998]",2,2,1
polyID31_S76,"[0.30859461426734924, 0.4291744530200958, 0.26223087310791016]",1,0,1
pepID3559,"[0.13662463426589966, 0.40361735224723816, 0.45975807309150696]",2,2,1
polyID50_S91,"[0.38264212012290955, 0.45636263489723206, 0.16099520027637482]",1,1,1
pepID7959,"[0.907202959060669, 0.023548709228634834, 0.06924836337566376]",0,0,1
pepID7602,"[0.4548967480659485, 0.2550983428955078, 0.2900049090385437]",0,0,1
polyID28_S3,"[0.4812780022621155, 0.21329253911972046, 0.3054295480251312]",0,0,1
pepID9387,"[0.35830485820770264, 0.31547650694847107, 0.3262186348438263]",0,0,1
polyID50_S9,"[0.1424158215522766, 0.6451091170310974, 0.2124750316143036]",1,1,1
polyID12_S58,"[0.0032557230442762375, 0.6310553550720215, 0.3656889498233795]",1,1,1
pepID10781,"[0.7593178749084473, 0.0948936864733696, 0.14578843116760254]",0,0,1
polyID18_S24,"[0.0019171456806361675, 0.2720775008201599, 0.7260053157806396]",2,2,1
pepID4540,"[0.312513530254364, 0.3384099304676056, 0.349076509475708]",2,0,1
pepID10322,"[0.047362323850393295, 0.34796085953712463, 0.6046767234802246]",2,0,1
pepID2561,"[0.13698764145374298, 0.37443146109580994, 0.4885809123516083]",2,2,1
polyID12_S1,"[0.00416404427960515, 0.6728100180625916, 0.32302597165107727]",1,1,1
polyID26_S10,"[0.32895082235336304, 0.5945783853530884, 0.07647081464529037]",1,0,1
pepID4949,"[0.03133280947804451, 0.35980239510536194, 0.6088647842407227]",2,2,1
pepID10815,"[0.6973999738693237, 0.12554773688316345, 0.17705225944519043]",0,0,1
