dataset,epoch,loss,F1,recall,precision,accuracy,confusion_matrix,roc_auc,pr_auc,0vr_roc_auc,0vr_pr_auc,1vr_roc_auc,1vr_pr_auc,2vr_roc_auc,2vr_pr_auc,time
train,1,1.094565510749817,0.40175968645758703,0.43087017653491644,0.4010952387492595,0.43087017653491644,"[[2131 1099  153]
 [ 921  544  130]
 [ 885  455   83]]",0.5505936054292938,0.37014309589492705,0.570302052107495,0.6006495349227738,0.5635708760079159,0.27972441693057515,0.5179078881724705,0.23005533583143223,0 days 00:00:01.570217
val,1,1.0939634084701537,0.46362968589755144,0.520914099163436,0.5048119303947292,0.520914099163436,"[[1927  600   10]
 [ 649  600   22]
 [ 667  400   26]]",0.6580288245008025,0.4773444621416944,0.6961052564182086,0.7007504883592772,0.6750898947272598,0.41526345300561635,0.6028913223569391,0.3160194450601897,0 days 00:00:00.879521
train,2,1.0838438272476196,0.43376146036706903,0.47492579284486797,0.4623711740075299,0.47492579284486797,"[[2132 1217   34]
 [ 686  885   24]
 [ 696  704   23]]",0.5929871747317123,0.41480336453795114,0.6254330358375906,0.6382267772699376,0.6083721758460232,0.3387276278205975,0.545156312511523,0.26745568852331825,0 days 00:00:01.645425
val,2,1.0729316473007202,0.4621998148064705,0.5227504590899816,0.5010499287906015,0.5227504590899816,"[[1911  622    4]
 [ 620  642    9]
 [ 631  453    9]]",0.6672771459570029,0.48862841516541594,0.7134890923969915,0.7207673821998994,0.6852828405650092,0.4281568708218745,0.6030595049090084,0.31696099247447396,0 days 00:00:00.883194
train,3,1.0673637219837733,0.467957651016354,0.49367286361506013,0.49303321537481076,0.49367286361506013,"[[2058 1159  166]
 [ 478 1036   81]
 [ 464  893   66]]",0.6531838494222456,0.4667511590282432,0.6981516654335491,0.6904344079935945,0.6546140730565372,0.38767938603224494,0.6067858097766504,0.32213968305889024,0 days 00:00:01.634513
val,3,1.0624586820602417,0.47045714673958877,0.4925525402978984,0.4580767407151202,0.4925525402978984,"[[1900  523  114]
 [ 567  278  426]
 [ 567  290  236]]",0.6826172133819237,0.5000206842530424,0.7330410933413901,0.7470733984811319,0.6980922160594573,0.4396533177903654,0.6167183307449239,0.3133353364876298,0 days 00:00:00.839763
train,4,1.0226423740386963,0.5277038957314393,0.5381971566942665,0.523728199264025,0.5381971566942665,"[[2480  598  305]
 [ 550  687  358]
 [ 534  611  278]]",0.6956000287647037,0.49815769926560755,0.7475059976136873,0.7686578767435419,0.6947579892949903,0.39363548138922055,0.6445360993854337,0.33217973966406,0 days 00:00:01.567765
val,4,1.0297054052352905,0.42809873200623,0.4629667414813303,0.5473051246529723,0.4629667414813303,"[[1101 1343   93]
 [  94 1155   22]
 [ 105  975   13]]",0.7056277842514306,0.5103426171584738,0.7590678266228348,0.7890273787374108,0.7122657806156841,0.4476117139913979,0.6455497455157726,0.2943887587466131,0 days 00:00:00.903184
train,5,0.9687159742627826,0.4961632683875949,0.5238244024371193,0.5584782830868753,0.5238244024371193,"[[1992 1256  135]
 [ 232 1307   56]
 [ 281 1088   54]]",0.7138301712246866,0.5097122857748021,0.7730178197736431,0.8042257428261932,0.7147273457812008,0.4161869067651024,0.6537453481192158,0.3087242077331108,0 days 00:00:01.677181
val,5,0.9783132910728455,0.5061742008969345,0.5200979391960824,0.5837563127375426,0.5200979391960824,"[[1349  840  348]
 [ 108 1100   63]
 [ 137  856  100]]",0.74110779233833,0.5387933676107214,0.8065627861624273,0.8217691975899508,0.7568246299631751,0.4816653841265983,0.6599359608893877,0.3129455211156149,0 days 00:00:00.833389
