ID,monomers,class_distribution,mol_distribution,KLdiv,Tma_wt,Aeg_wt,Mo_wt,Mep_wt,Ni_wt,Phe_wt,Do_wt,Bam_wt,Oct_wt,Olam_wt,Bmam_wt,Tmb_wt,SMILES,prob_class0_model_20,prob_class1_model_20,prob_class2_model_20,prob_class0_model_29,prob_class1_model_29,prob_class2_model_29,prob_class0_model_41,prob_class1_model_41,prob_class2_model_41,prob_class0_model_44,prob_class1_model_44,prob_class2_model_44,prob_class0_model_82,prob_class1_model_82,prob_class2_model_82,mean_class0,mean_class1,mean_class2
500008,"['Tma', 'Mo', 'Ni', 'Phe']","[60, 5, 35]","[0.4723122121033486, 0.05763243923631273, 0.3594897245930659, 0.11056562406727277]",0.31770046069284436,60,0,5,0,25,10,0,0,0,0,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'CC(C)NC(=O)C=C', 'C=CC(=O)Nc1ccccc1']",0.0007613028,0.24554306,0.75369567,1.8037475e-06,0.15288836,0.8471098,0.004871699,0.9557592,0.03936905,0.00012238066,0.04311675,0.95676094,0.00044819646,0.010639672,0.9889121,0.0012410765,0.28158942,0.7171695
500010,"['Tma', 'Mo', 'Ni', 'Phe']","[60, 5, 35]","[0.46459293868959917, 0.056690518734225315, 0.42433724971954334, 0.05437929285663238]",0.2554765343595886,60,0,5,0,30,5,0,0,0,0,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'CC(C)NC(=O)C=C', 'C=CC(=O)Nc1ccccc1']",0.0014293543,0.2549547,0.743616,1.7446191e-06,0.15438442,0.8456139,0.0026093486,0.89966357,0.09772713,0.000114498325,0.038226143,0.9616593,0.022427693,0.064839505,0.91273284,0.005316528,0.28241366,0.71226984
500011,"['Tma', 'Mo', 'Ni']","[60, 5, 35]","[0.45712192891618986, 0.055778891836240956, 0.4870991792475693]",0.32398329114491986,60,0,5,0,35,0,0,0,0,0,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'CC(C)NC(=O)C=C']",0.00168329,0.25987732,0.7384394,1.645178e-06,0.14981535,0.850183,0.012231585,0.9508483,0.036920104,0.00013448972,0.040213738,0.95965177,0.008052425,0.0063603288,0.98558724,0.004420687,0.281423,0.71415627
500033,"['Tma', 'Mep', 'Ni', 'Phe']","[60, 10, 30]","[0.4881773705528444, 0.11746419922123487, 0.22293907800233842, 0.17141935222358234]",0.2723427201431262,60,0,0,10,15,15,0,0,0,0,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'COCCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)Nc1ccccc1']",0.00060169044,0.22048967,0.77890867,1.3230392e-06,0.12776926,0.87222934,0.0032716896,0.94734603,0.04938229,9.696139e-05,0.039099947,0.96080303,0.0016959565,0.13645618,0.86184794,0.0011335241,0.2942322,0.7046343
500036,"['Tma', 'Mep', 'Ni', 'Phe']","[60, 10, 30]","[0.4799353251058472, 0.11548101579902881, 0.29223350728357983, 0.11235015181154412]",0.3183069018418254,60,0,0,10,20,10,0,0,0,0,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'COCCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)Nc1ccccc1']",0.0007606414,0.2404883,0.758751,1.4761688e-06,0.14113091,0.8588676,0.0036723837,0.9483355,0.04799208,0.00010283515,0.039840303,0.96005684,3.873859e-05,0.0055891625,0.994372,0.000915215,0.27507684,0.7240079
500038,"['Tma', 'Mep', 'Ni', 'Phe']","[60, 10, 30]","[0.47196696481684713, 0.11356368591666721, 0.3592269474537914, 0.05524240181269421]",0.31677812497958807,60,0,0,10,25,5,0,0,0,0,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'COCCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)Nc1ccccc1']",0.0010172492,0.24257083,0.75641197,1.611366e-06,0.15082423,0.8491741,0.005734658,0.9532572,0.04100817,0.00011228649,0.03786814,0.9620196,0.0019982008,0.01374398,0.9842578,0.001772801,0.2796529,0.71857435
500039,"['Tma', 'Mep', 'Ni']","[60, 10, 30]","[0.46425888034701385, 0.11170898304759885, 0.42403213660538724]",0.32146111794028986,60,0,0,10,30,0,0,0,0,0,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'COCCCNC(=O)C=C', 'CC(C)NC(=O)C=C']",0.0013298083,0.25870743,0.7399628,1.6297572e-06,0.15658917,0.84340924,0.011832183,0.95290124,0.035266507,0.00012447275,0.038244713,0.96163076,0.009266748,0.011592403,0.9791408,0.0045109685,0.283607,0.711882
500046,"['Tma', 'Mo', 'Mep', 'Phe']","[60, 10, 30]","[0.5142408933062059, 0.06274865708916309, 0.061867774279069365, 0.3611426753255617]",0.2692458643355774,60,0,5,5,0,30,0,0,0,0,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'COCCCNC(=O)C=C', 'C=CC(=O)Nc1ccccc1']",0.0002099762,0.18097477,0.81881523,9.462734e-07,0.09006859,0.90993047,0.0013447801,0.852355,0.14630018,7.573473e-05,0.03631143,0.9636129,3.8860794e-08,0.0027160987,0.99728394,0.0003262952,0.23248515,0.76718855
500061,"['Tma', 'Mo', 'Mep', 'Ni', 'Phe']","[60, 10, 30]","[0.4877694798635087, 0.05951856460448744, 0.05868302671612998, 0.222752803955872, 0.17127612486000185]",0.2990229468100448,60,0,5,5,15,15,0,0,0,0,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'COCCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)Nc1ccccc1']",0.0005542323,0.21674414,0.7827017,1.3168789e-06,0.12652467,0.87347394,0.0028642246,0.92958415,0.06755162,0.000101599726,0.03933281,0.9605656,2.3528382e-05,0.017462097,0.9825143,0.00070898037,0.26592958,0.7333614
500066,"['Tma', 'Mo', 'Mep', 'Ni', 'Phe']","[60, 10, 30]","[0.4715857026105206, 0.057543789158827845, 0.05673597370828136, 0.3589367583753856, 0.055197776146984616]",0.30303527403262065,60,0,5,5,25,5,0,0,0,0,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'COCCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)Nc1ccccc1']",0.0015985029,0.25650844,0.7418931,1.4481126e-06,0.13757627,0.86242235,0.004742879,0.9396133,0.055643793,0.00012985223,0.041601323,0.95826876,0.0024561945,0.017393416,0.98015046,0.0017857754,0.27853855,0.71967566
